"category","goods_no","title","subtitle","author","author_url","publisher","publisher_url","publish_date","discount_rate","price_discount","price_original","point","review_count","review_score","sale_count","sale_status","event_title","event_period","tag","used_count","ebook_exist","ebook_price","preview_exist","revised_info","image_url","detail_url","delivery_info","description"
"컴퓨터 입문/활용","145993511","엄마 아빠에게 선물하는 스마트폰 활용 + 챗GPT 무한 꿀팁 36","갤럭시, AI, 챗GPT, 등본 발급, 카카오톡, 송금, 선물하기, 쿠팡, 배달 주문, 번역, 카메라/사진, 길찾기까지","온선(김은정)","https://www.yes24.com/product/search?domain=ALL&query=%25EC%2598%25A8%25EC%2584%25A0(%25EA%25B9%2580%25EC%259D%2580%25EC%25A0%2595)&authorNo=493785&author=온선(김은정)","골든래빗","https://www.yes24.com/product/search?&domain=ALL&company=%ea%b3%a8%eb%93%a0%eb%9e%98%eb%b9%97&query=%25EA%25B3%25A8%25EB%2593%25A0%25EB%259E%2598%25EB%25B9%2597","2025년 06월","10","21,600","24,000","포인트적립1,200원",NA,NA,"판매지수 315",NA,NA,NA,NA,NA,"N",NA,"N",NA,"https://image.yes24.com/goods/145993511/L","https://www.yes24.com/product/goods/145993511","6/2(월) 발송예정(예약판매)","스마트폰은 24시간 엄마 아빠랑 있지만, 우리는 그러지 못한다!그래서 ‘이거 어떻게 하더라?’ 진짜 필요한 스마트폰 꿀팁을 한데 모아서누적조회수 200만 유튜버, 온선이 싹~ 알려준다!카톡으로 송금 보내고 싶은..."
"컴퓨터 입문/활용","146262491","캔바로 쉽고 빠르게 콘텐츠 디자인하기",NA,"권유진; 백은영; 서미경; 송민경; 안은진; 윤승희; 정세경; 홍신애","https://www.yes24.com/product/search?domain=ALL&query=%25EA%25B6%258C%25EC%259C%25A0%25EC%25A7%2584&authorNo=494208&author=권유진; https://www.yes24.com/product/search?domain=ALL&query=%25EB%25B0%25B1%25EC%259D%2580%25EC%2598%2581&authorNo=494210&author=백은영; https://www.yes24.com/product/search?domain=ALL&query=%25EC%2584%259C%25EB%25AF%25B8%25EA%25B2%25BD&authorNo=460155&author=서미경; https://www.yes24.com/product/search?domain=ALL&query=%25EC%2586%25A1%25EB%25AF%25BC%25EA%25B2%25BD&authorNo=494211&author=송민경; https://www.yes24.com/product/search?domain=ALL&query=%25EC%2595%2588%25EC%259D%2580%25EC%25A7%2584&authorNo=283281&author=안은진; https://www.yes24.com/product/search?domain=ALL&query=%25EC%259C%25A4%25EC%258A%25B9%25ED%259D%25AC&authorNo=494213&author=윤승희; https://www.yes24.com/product/search?domain=ALL&query=%25EC%25A0%2595%25EC%2584%25B8%25EA%25B2%25BD&authorNo=494214&author=정세경; https://www.yes24.com/product/search?domain=ALL&query=%25ED%2599%258D%25EC%258B%25A0%25EC%2595%25A0&authorNo=494215&author=홍신애","아티오","https://www.yes24.com/product/search?&domain=ALL&company=%ec%95%84%ed%8b%b0%ec%98%a4&query=%25EC%2595%2584%25ED%258B%25B0%25EC%2598%25A4","2025년 05월","10","16,650","18,500","포인트적립920원","10","9.8","판매지수 5,220",NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/goods/146262491/L","https://www.yes24.com/product/goods/146262491","2일 이내 (5/13, 화) 출고예정","누구나 디자이너가 되는 시대, 이젠 캔바 하나로 무엇이든 만든다!AI와 디자인이 만난 캔바 활용서, 『캔바로 쉽고 빠르게 콘텐츠 디자인하기』 출간!감성 콘텐츠 디자인을 쉽고 빠르게 배울 수 있는 실전 활용서, ..."
"컴퓨터 입문/활용","146043037","선생님을 위한 캔바 수업 활용","캔바 A to Z, 수업 자료 만들기, 협업 수업과 평가, 에듀테크 활용 수업, 캔바 AI 수업 활용법","김민주","https://www.yes24.com/product/search?domain=ALL&query=%25EA%25B9%2580%25EB%25AF%25BC%25EC%25A3%25BC&authorNo=493977&author=김민주","앤써북","https://www.yes24.com/product/search?&domain=ALL&company=%ec%95%a4%ec%8d%a8%eb%b6%81&query=%25EC%2595%25A4%25EC%258D%25A8%25EB%25B6%2581","2025년 05월","10","16,920","18,800","포인트적립940원",NA,NA,"판매지수 1,032",NA,NA,NA,NA,NA,"N",NA,"N",NA,"https://image.yes24.com/goods/146043037/L","https://www.yes24.com/product/goods/146043037","내일 (5/12, 월) 도착예정","초ㆍ중ㆍ고등학교 모든 선생님을 위한 캔바 활용 비법서캔바 A to Z까지, 수업 자료 만들기, 협업 수업과 평가, 에듀테크 활용 수업, 캔바 AI 수업 활용법을 한 번에 다 잡자! 『선생님을 위한 캔바 수업 활용』은 ..."
"컴퓨터 입문/활용","146285291","레베기의 유튜브 콘텐츠 POWER 법칙","기술이 콘텐츠가 되고, 콘텐츠가 비즈니스가 되는 유튜브 신분 상승의 모든 것","레베기","https://www.yes24.com/product/search?domain=ALL&query=%25EB%25A0%2588%25EB%25B2%25A0%25EA%25B8%25B0&authorNo=494381&author=레베기","리코멘드","https://www.yes24.com/product/search?&domain=ALL&company=%eb%a6%ac%ec%bd%94%eb%a9%98%eb%93%9c&query=%25EB%25A6%25AC%25EC%25BD%2594%25EB%25A9%2598%25EB%2593%259C","2025년 05월","10","16,920","18,800","포인트적립940원","2","10.0","판매지수 240",NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/goods/146285291/L","https://www.yes24.com/product/goods/146285291","5/15(목) 발송예정(예약판매)","기술자의 콘텐츠 혁명, 레베기가 알려주는 유튜브 비즈니스 전략서“기술만으로 인정받던 시대는 끝났다. 이제는 '어떻게 보여 주느냐'가 더 중요한 시대다.”가죽 공예 유튜브 채널 『레베기의 이상한 아뜰리에 LEB..."
"컴퓨터 입문/활용","146281744","인공지능과 함께하는 똑똑한 컴퓨터 놀이",NA,"김도화; 렉스기획팀","https://www.yes24.com/product/search?domain=ALL&query=%25EA%25B9%2580%25EB%258F%2584%25ED%2599%2594&authorNo=494307&author=김도화; https://www.yes24.com/product/search?domain=ALL&query=%25EB%25A0%2589%25EC%258A%25A4%25EA%25B8%25B0%25ED%259A%258D%25ED%258C%2580&authorNo=264916&author=렉스기획팀","REXmedia(렉스미디어)","https://www.yes24.com/product/search?&domain=ALL&company=REXmedia(%eb%a0%89%ec%8a%a4%eb%af%b8%eb%94%94%ec%96%b4)&query=REXmedia(%25EB%25A0%2589%25EC%258A%25A4%25EB%25AF%25B8%25EB%2594%2594%25EC%2596%25B4)","2025년 05월","10","12,600","14,000","포인트적립700원",NA,NA,"판매지수 120",NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/146281744","2일 이내 (5/13, 화) 출고예정","인공지능의 개념을 쉽게 이해하고 활용, 다양한 인공지능 프로그램의 체험 활동, 인공지능의 결과물을 이용한 파워포인트, 망고툰의 작품 완성을 다루었다. 초등학생 눈높이에 맞는 인공지능의 개념을 설명하고 활용..."
"컴퓨터 입문/활용","146301784","씽크톡톡 윈도우 11 & 인터넷 활용","기초에서 활용까지 한 번에 배우는","도용화; 금미정","https://www.yes24.com/product/search?domain=ALL&query=%25EB%258F%2584%25EC%259A%25A9%25ED%2599%2594&authorNo=263988&author=도용화; https://www.yes24.com/product/search?domain=ALL&query=%25EA%25B8%2588%25EB%25AF%25B8%25EC%25A0%2595&authorNo=263989&author=금미정","웰북","https://www.yes24.com/product/search?&domain=ALL&company=%ec%9b%b0%eb%b6%81&query=%25EC%259B%25B0%25EB%25B6%2581","2025년 05월","10","9,000","10,000","포인트적립500원",NA,NA,NA,NA,NA,NA,"#윈도우",NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/146301784","내일 (5/12, 월) 도착예정","모든 과정의 컴퓨터 수업에 OK! 16강의 기본학습과 8강의 작품만들기로 16강 수업도, 24강 수업도 모두 OK! 기초부터 탄탄하게 배우자! 생활에서 자주 사용하는 기능을 중심으로 기초부터 활용까지 체계적으로 배울 ..."
"컴퓨터 입문/활용","146301718","씽크톡톡 윈도우 11 & 인터넷 기초","기초에서 활용까지 한 번에 배우는","도용화; 금미정","https://www.yes24.com/product/search?domain=ALL&query=%25EB%258F%2584%25EC%259A%25A9%25ED%2599%2594&authorNo=263988&author=도용화; https://www.yes24.com/product/search?domain=ALL&query=%25EA%25B8%2588%25EB%25AF%25B8%25EC%25A0%2595&authorNo=263989&author=금미정","웰북","https://www.yes24.com/product/search?&domain=ALL&company=%ec%9b%b0%eb%b6%81&query=%25EC%259B%25B0%25EB%25B6%2581","2025년 05월","10","9,000","10,000","포인트적립500원",NA,NA,NA,NA,NA,NA,"#윈도우",NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/146301718","내일 (5/12, 월) 도착예정","모든 과정의 컴퓨터 수업에 OK! 16강의 기본학습과 8강의 작품만들기로 16강 수업도, 24강 수업도 모두 OK! 기초부터 탄탄하게 배우자! 생활에서 자주 사용하는 기능을 중심으로 기초부터 활용까지 체계적으로 배울 ..."
"컴퓨터 입문/활용","146361202","AI 디지털리터러시 전문가 남기종,장소영의 스마트폰 AI 챗GPT 사용 길라잡이","한 권으로 해결하는 스마트폰 AI 활용 교재","남기종; 장소영","https://www.yes24.com/product/search?domain=ALL&query=%25EB%2582%25A8%25EA%25B8%25B0%25EC%25A2%2585&authorNo=422682&author=남기종; https://www.yes24.com/product/search?domain=ALL&query=%25EC%259E%25A5%25EC%2586%258C%25EC%2598%2581&authorNo=422683&author=장소영","디지털콘텐츠그룹","https://www.yes24.com/product/search?&domain=ALL&company=%eb%94%94%ec%a7%80%ed%84%b8%ec%bd%98%ed%85%90%ec%b8%a0%ea%b7%b8%eb%a3%b9&query=%25EB%2594%2594%25EC%25A7%2580%25ED%2584%25B8%25EC%25BD%2598%25ED%2585%2590%25EC%25B8%25A0%25EA%25B7%25B8%25EB%25A3%25B9","2025년 05월","10","16,200","18,000","포인트적립900원",NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/146361202","2일 이내 (5/13, 화) 출고예정","디지털 시대, 부모님을 위한 맞춤형 AI 활용 가이드본서는 AI 기술이 낯선 액티브 시니어·실버 세대가 쉽고 편리하게 AI를 활용할 수 있도록 기획된 실용 가이드이다. 챗GPT, 구글제미나이, 빅스비, 아숙업 등 다양..."
"컴퓨터 입문/활용","146036238","어른들을 위한 가장 쉬운 컴퓨터",NA,"혜지원 기획팀","https://www.yes24.com/product/search?domain=ALL&query=%25ED%2598%259C%25EC%25A7%2580%25EC%259B%2590%2520%25EA%25B8%25B0%25ED%259A%258D%25ED%258C%2580&authorNo=416328&author=혜지원 기획팀","혜지원","https://www.yes24.com/product/search?&domain=ALL&company=%ed%98%9c%ec%a7%80%ec%9b%90&query=%25ED%2598%259C%25EC%25A7%2580%25EC%259B%2590","2025년 05월","10","13,500","15,000","포인트적립750원",NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"Y",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/146036238","내일 (5/12, 월) 도착예정","스마트한 어른들을 위한 시리즈! 컴퓨터 최신 개정판!컴퓨터의 기초 기능을 하나씩 따라하며 익숙해지자!이제는 컴퓨터 없이 해낼 수 없는 일이 많아졌을 정도로, 컴퓨터는 우리 생활에 깊이 들어와 있다. 컴퓨터를 ..."
"컴퓨터 입문/활용","145276955","숏폼 영상 편집 제작 및 수익 창출 with 캡컷 · 생성형 AI","유튜브 쇼츠부터 틱톡, 릴스, 생성형 AI까지!","채수창","https://www.yes24.com/product/search?domain=ALL&query=%25EC%25B1%2584%25EC%2588%2598%25EC%25B0%25BD&authorNo=345775&author=채수창","앤써북","https://www.yes24.com/product/search?&domain=ALL&company=%ec%95%a4%ec%8d%a8%eb%b6%81&query=%25EC%2595%25A4%25EC%258D%25A8%25EB%25B6%2581","2025년 05월","10","12,420","13,800","포인트적립690원","5","10.0","판매지수 2,868",NA,NA,NA,NA,NA,"N",NA,"N",NA,"https://image.yes24.com/momo/Noimg_L.jpg","https://www.yes24.com/product/goods/145276955","내일 (5/12, 월) 도착예정","캡컷을 활용해 유튜브 쇼츠, 틱톡, 릴스 등 다양한 플랫폼에 맞는 숏폼 영상 편집·제작부터 수익 창출까지 한 권에 모두 담았다. 2판에서는 숏폼 영상 기획부터 제작까지 전 과정을 생성형 AI를 활용하는 파트를 추..."
