"title","book_id","detail_url","category","author_raw","publisher","pub_date","original_price","sale_price","discount_rate","rating","review_count","delivery_info","badge","signature","series_name","sales_index","is_reserved","has_preview","is_soldout","used_count","ebook_price","revised_notice","ebook_info","gift_info","description","image_url"
"마인크래프트 서바이벌 챌린지 모험편","145705024","https://www.yes24.com/product/goods/145705024","게임","Mojang Studio 저/강세중 역","영진닷컴","2025년 04월","14,000","12,600","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,516,NA,"Y",NA,NA,NA,NA,NA,NA,"마인크래프트 공식 가이드 시리즈마인크래프트 모험을 위한 서바이벌 미니 챌린지 마인크래프트는 여러 가지 블록으로 이루어진 자원을 이용해 멋진 건축물을 만들거나, 무기를 만들어 적과 싸우는 등 다양한 활동을...","https://image.yes24.com/goods/145705024/L"
"철구의 FUN한 로블록스","145576189","https://www.yes24.com/product/goods/145576189","게임","강철구 저","서하당","2025년 04월","15,000","13,500","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,651,NA,NA,NA,NA,NA,NA,NA,NA,"“마우이가 알려줄게!”12살 작가가 직접 쓴, 로블록스 세상의 재미있는 입문서!“처음 로블록스를 한다면? 걱정하지 마세요, 이 책이 차근차근 알려줄게요!”100% 어린이 시선으로 구성된 ‘진짜 초보자용’ 로블록...","https://image.yes24.com/goods/145576189/L"
"언리얼 엔진5 멀티플레이 게임 만들기","146143615","https://www.yes24.com/product/goods/146143615","게임","강상용 저","BOOKK(부크크)","2025년 04월","29,900","29,900",NA,NA,NA,"6일 이내 (5/17, 토) 출고예정",NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,"『언리얼 엔진5 멀티플레이 게임 만들기』는 언리얼 엔진5를 활용해 멀티플레이 게임 프로그래밍을 단계적으로 배울 수 있는 교재이다. 한국폴리텍대학 서울정수캠퍼스 메타버스콘텐츠학과의 프로그래밍 수업을 위해...","https://image.yes24.com/goods/146143615/L"
"챗GPT와 함께 배우는 인공지능 엔트리 마스터하기 + 챗GPT와 함께 배우는 엔트리 마스터하기 세트","143255169","https://www.yes24.com/product/goods/143255169","게임","김종훈, 김현경, 김동건 저","골든래빗","2025년 03월","46,000","41,400","10","10.0","회원리뷰(2건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"2권",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://image.yes24.com/goods/143255169/L"
"챗GPT와 함께 배우는 인공지능 엔트리 마스터하기","143251916","https://www.yes24.com/product/goods/143251916","게임","김종훈, 김현경, 김동건 공저","골든래빗","2025년 03월","22,000","19,800","10",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,2358,NA,NA,NA,17,NA,NA,"Y",NA,"문제해결 능력을 키워주는 인공지능 엔트리 첫걸음!챗GPT와 함께 단계별 체계적인 학습으로 AI 문해력, 사고력까지 쑥쑥!인공지능 시대에 AI 문해력, 사고력은 이제 필수이다. 대다수 엔트리 책은 기초 내용만 담고 ...","https://image.yes24.com/goods/143251916/L"
"현업 기획자 마이즈가 알려주는 게임 시나리오 스쿨","143372817","https://www.yes24.com/product/goods/143372817","게임","김현석 저","초록비책공방","2025년 03월","26,000","23,400","10","10.0","회원리뷰(4건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,1080,NA,"Y",NA,NA,NA,NA,NA,NA,"스토리, 내러티브, 인터랙션까지! 게임의 움직이는 모든 순간을 설계한다게임 기획자의 필독서로 자리 잡은 『현업 기획자 마이즈가 알려주는 게임 기획 스쿨』의 저자 김현석이 20년 이상 쌓아온 실무 경험을 바탕...","https://image.yes24.com/goods/143372817/L"
"인생 유니티 교과서","90178804","https://www.yes24.com/product/goods/90178804","게임","이영훈, 김태환, 김현진, 박원석, 박현상 저 외 2명
                                        
                                            정보 더 보기/감추기
                                            
                                                
                                                    이영훈
                                                                김태환
                                                                김현진
                                                                박원석
                                                                박현상
                                                                탁광욱
                                                                이영호","성안당","2025년 03월","40,000","36,000","10","9.4","회원리뷰(27건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"2021 세종도서 학술 부문 우수 도서 선정/6쇄",NA,1920,NA,"Y",NA,36,30400,NA,"Y",NA,"유니티 게임 개발 탑티어 강의! 버전 6로 전면 개정![2021 세종도서 학술 부문 우수 도서 선정]이 책은 지난 2024년 10월 17일 발표된 유니티 버전 6에 맞춰 전폭적인 기능 설명과 메뉴를 전면 개편한 6쇄 전면 개정...","https://image.yes24.com/goods/90178804/L"
"언리얼 엔진 5로 개발하는 멀티플레이어 게임","142788726","https://www.yes24.com/product/goods/142788726","게임","마르코 세치 저/이지성, 송정은 역","에이콘출판사","2025년 02월","40,000","36,000","10","10.0","회원리뷰(1건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,NA,NA,942,NA,"Y",NA,32,NA,NA,"Y",NA,"언리얼 엔진 5를 사용해서 멀티플레이어 게임을 개발하려는 초중급 개발자를 대상으로 한 책이다. 네트워킹의 기초부터 시작해 복제, RPC, 연관성, AI 시스템, 세션 관리 등 중요 개념을 배울 뿐만 아니라 네트워크 ...","https://image.yes24.com/goods/142788726/L"
"게임 개발자가 알려주는 유니티 게임 제작 입문","143001640","https://www.yes24.com/product/goods/143001640","게임","홍동희 저","AK(에이케이 커뮤니케이션즈)","2025년 02월","26,000","24,700","5",NA,NA,"24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"유니티6 대응 전면 개정",NA,1422,NA,"Y",NA,NA,NA,NA,NA,NA,"유니티6 대응 전면 개정판!유니티 게임 제작 입문의 지름길!오랜 게임 제작 경력의 현역 개발자가 알려주는 게임제작의 경험과 노하우!유니티로 게임 개발자가 되기 위해서는 어떻게 해야 될까? 스스로 게임을 만들...","https://image.yes24.com/goods/143001640/L"
"레트로의 유니티 6 게임 프로그래밍 에센스","142763143","https://www.yes24.com/product/goods/142763143","게임","이제민 저","한빛미디어","2025년 02월","66,000","59,400","10","9.8","회원리뷰(71건)","24시까지 주문하면 내일 (5/12, 월) 도착예정",NA,"제3판","소문난 명강의 시리즈",3909,NA,"Y",NA,52,NA,NA,"Y",NA,"최고의 유니티 마스터 레트로가 알려주는 가장 친절한 유니티 게임 개발 튜토리얼유니티 입문서의 절대 강자 『레트로의 유니티 게임 프로그래밍 에센스』가 유니티 6에 맞춰 더욱 강력해진 3판으로 돌아왔다. 이 책...","https://image.yes24.com/goods/142763143/L"
